31045 particles, 226 vloidsters
Zone# edgeflag CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
63 0 6763 1.327791e-01 1.217017e+02 99 1 1.217017e+02 99 1.055327 7.53e-01
64 0 6930 2.136152e-01 8.354693e+01 82 1 8.354693e+01 82 1.211020 3.36e-01
65 0 6983 1.143063e-01 1.549834e+02 197 1 1.549834e+02 197 1.193797 3.68e-01
66 0 7033 7.338093e-02 6.528050e+02 680 3 9.355075e+02 1002 2.384765 1.14e-04
67 0 7676 2.036098e-01 1.885897e+02 219 1 1.885897e+02 219 1.370077 1.43e-01
68 0 8000 2.538530e-01 3.805334e+01 40 1 3.805334e+01 40 1.065878 7.13e-01
69 0 8017 5.204094e-01 6.675826e+00 8 1 6.675826e+00 8 1.002123 9.89e-01
70 0 8321 3.200902e-01 1.101244e+01 13 1 1.101244e+01 13 1.268190 2.48e-01
71 0 8326 1.418464e-01 2.155007e+02 204 1 2.155007e+02 204 1.728270 1.73e-02
72 0 8373 1.612291e-01 2.677813e+02 235 1 2.677813e+02 235 1.164662 4.28e-01
73 0 8628 2.493600e-01 5.677557e+01 63 1 5.677557e+01 63 1.068405 7.04e-01
74 0 8942 2.666559e-01 3.320667e+01 38 1 3.320667e+01 38 1.060877 7.32e-01
75 0 8972 3.347753e-01 2.033724e+01 19 1 2.033724e+01 19 1.022214 8.92e-01
76 0 9083 1.794349e-01 1.382252e+02 116 3 3.093775e+02 278 1.450793 9.13e-02
77 0 9346 1.581159e-01 2.378325e+02 236 2 4.527517e+02 435 1.425174 1.05e-01
78 0 9512 1.697574e-01 1.914168e+02 238 1 1.914168e+02 238 1.673663 2.44e-02
79 0 9655 3.508872e-01 2.432917e+01 41 1 2.432917e+01 41 1.057066 7.46e-01
80 0 9695 1.522850e-01 1.810914e+02 189 1 1.810914e+02 189 1.111666 5.64e-01
81 0 9777 2.128715e-01 9.945727e+01 124 1 9.945727e+01 124 1.259765 2.60e-01
82 0 9878 1.456225e-01 3.216790e+02 294 1 3.216790e+02 294 1.329465 1.79e-01
83 0 9908 2.706526e-01 8.606378e+01 104 1 8.606378e+01 104 1.076139 6.77e-01
84 0 10079 1.369330e-01 1.334736e+02 150 1 1.334736e+02 150 1.028461 8.64e-01
85 0 10105 1.671844e-01 1.961298e+02 230 1 1.961298e+02 230 1.407511 1.16e-01
86 0 10242 1.999250e-01 1.454687e+02 167 1 1.454687e+02 167 1.328364 1.80e-01
87 0 10403 1.280056e-01 1.375593e+02 125 3 3.893049e+02 336 1.705639 2.00e-02
88 0 10713 1.567644e-01 1.449292e+02 141 1 1.449292e+02 141 2.035743 2.06e-03
89 0 10744 2.449920e-01 3.822096e+01 45 1 3.822096e+01 45 1.006713 9.66e-01
90 0 11062 1.172922e-01 4.680521e+02 345 2 8.061470e+02 655 1.193104 3.69e-01
91 0 11105 2.567968e-01 4.172920e+01 77 1 4.172920e+01 77 1.093867 6.18e-01
92 0 11149 1.647428e-01 2.014067e+02 195 1 2.014067e+02 195 1.365088 1.47e-01
93 0 11188 1.803188e-01 3.184356e+01 22 1 3.184356e+01 22 1.003304 9.83e-01
94 0 11310 1.417224e-01 8.341313e+01 68 1 8.341313e+01 68 1.132213 5.07e-01
95 0 11372 1.586623e-01 1.650182e+02 154 2 2.695358e+02 277 1.352456 1.58e-01
96 0 11373 1.209272e-01 2.143983e+02 196 2 2.978115e+02 264 1.447121 9.32e-02
97 0 11462 2.623726e-01 1.634498e+01 15 1 1.634498e+01 15 1.132581 5.06e-01
98 0 11500 1.690885e-01 1.045177e+02 123 1 1.045177e+02 123 1.166047 4.25e-01
99 0 11584 1.560710e-01 1.233775e+02 117 1 1.233775e+02 117 1.361842 1.50e-01
100 0 11691 1.191892e-01 3.607866e+02 268 3 6.033328e+02 499 1.475379 7.94e-02
101 0 11891 2.480460e-01 5.052756e+01 65 1 5.052756e+01 65 1.067401 7.08e-01
102 0 11920 1.127317e-01 4.417632e+02 372 2 5.634649e+02 471 1.653935 2.76e-02
103 0 11958 1.948730e-01 4.658484e+01 43 1 4.658484e+01 43 1.076343 6.76e-01
104 0 12651 2.701697e-01 6.686861e+01 105 1 6.686861e+01 105 1.186553 3.82e-01
105 0 12767 2.022643e-01 3.747590e+01 55 1 3.747590e+01 55 1.001025 9.95e-01
106 0 13021 3.242018e-01 2.932166e+01 60 1 2.932166e+01 60 1.046468 7.88e-01
107 0 13088 2.309422e-01 9.539036e+01 146 1 9.539036e+01 146 1.300417 2.09e-01
108 0 13144 2.721571e-01 3.589085e+01 48 1 3.589085e+01 48 1.103484 5.88e-01
109 0 13507 2.819118e-01 2.608369e+01 25 1 2.608369e+01 25 1.015510 9.24e-01
110 0 13565 2.439645e-01 6.840942e+01 88 1 6.840942e+01 88 1.193152 3.69e-01
111 0 13776 1.879872e-01 1.841564e+02 157 1 1.841564e+02 157 1.410598 1.14e-01
112 0 13781 2.524948e-01 3.074960e+01 34 1 3.074960e+01 34 1.058760 7.40e-01
113 0 13928 2.071838e-01 1.149160e+02 122 2 1.409997e+02 147 1.390740 1.28e-01
114 0 14238 2.107125e-01 1.123020e+02 141 1 1.123020e+02 141 1.283536 2.29e-01
115 0 14251 1.748939e-01 2.149192e+02 199 1 2.149192e+02 199 1.199134 3.58e-01
116 0 14347 1.778886e-01 1.940079e+02 216 1 1.940079e+02 216 1.250151 2.73e-01
117 0 14363 2.074590e-01 1.103377e+02 107 1 1.103377e+02 107 1.151094 4.59e-01
118 0 14456 1.160422e-01 3.683427e+02 398 2 5.068466e+02 493 1.578406 4.35e-02
119 0 14507 1.032362e-01 5.707465e+02 527 10 3.407774e+03 3256 2.332421 1.82e-04
120 0 14696 1.404843e-01 1.385038e+02 95 1 1.385038e+02 95 1.101373 5.94e-01
121 0 15037 1.984287e-01 8.956106e+01 83 1 8.956106e+01 83 1.502004 6.81e-02
122 0 15105 1.947381e-01 7.719536e+01 61 1 7.719536e+01 61 1.103009 5.89e-01
123 0 15156 1.807546e-01 1.749981e+02 147 2 2.521934e+02 208 1.305360 2.03e-01
124 0 15278 1.629777e-01 2.212853e+02 190 1 2.212853e+02 190 1.505329 6.68e-02
125 0 15486 2.031174e-01 1.366281e+02 137 1 1.366281e+02 137 1.066328 7.12e-01
126 0 15555 2.569554e-01 4.986494e+01 72 1 4.986494e+01 72 1.016122 9.21e-01
127 0 15776 1.103496e-01 2.954141e+02 291 2 8.917453e+02 823 1.987207 2.95e-03
128 0 15874 2.266808e-01 6.731814e+01 78 1 6.731814e+01 78 1.145881 4.72e-01
129 0 15926 2.612251e-01 4.084699e+01 54 1 4.084699e+01 54 1.016253 9.20e-01
130 0 15994 1.923025e-01 1.343551e+02 172 1 1.343551e+02 172 1.233177 2.99e-01
131 0 16214 4.242323e-01 2.288576e+01 52 1 2.288576e+01 52 1.108199 5.74e-01
132 0 16252 2.557855e-01 9.351103e+01 165 1 9.351103e+01 165 1.143764 4.77e-01
133 0 16649 3.040087e-01 2.658262e+01 35 1 2.658262e+01 35 1.093235 6.20e-01
134 0 16999 1.769466e-01 1.477064e+02 158 1 1.477064e+02 158 1.132119 5.07e-01
135 0 17397 1.947532e-01 1.516473e+02 160 1 1.516473e+02 160 1.050887 7.70e-01
136 0 17667 1.282173e-01 1.598480e+02 175 1 1.598480e+02 175 1.565649 4.70e-02
137 0 17738 2.625494e-01 4.097311e+01 30 1 4.097311e+01 30 1.006068 9.69e-01
138 0 18132 3.318235e-01 1.642516e+01 26 1 1.642516e+01 26 1.245817 2.80e-01
139 0 18368 2.448116e-01 5.155821e+01 66 1 5.155821e+01 66 1.218462 3.23e-01
140 0 18389 4.553090e-01 5.556025e+00 7 1 5.556025e+00 7 1.100996 5.95e-01
141 0 18458 2.089218e-01 1.065274e+02 109 1 1.065274e+02 109 1.149654 4.63e-01
142 0 18481 2.940723e-01 3.342209e+01 42 1 3.342209e+01 42 1.062329 7.27e-01
143 0 18554 2.254072e-01 6.346008e+01 51 1 6.346008e+01 51 1.212351 3.34e-01
144 0 18658 1.768166e-01 1.482959e+02 162 1 1.482959e+02 162 1.354557 1.56e-01
145 0 18722 1.593355e-01 1.652803e+02 138 1 1.652803e+02 138 1.314268 1.94e-01
146 0 18748 2.854021e-01 1.560989e+01 15 1 1.560989e+01 15 1.095243 6.13e-01
147 0 18844 2.839353e-01 3.196783e+01 24 1 3.196783e+01 24 1.027277 8.70e-01
148 0 19020 1.930709e-01 1.762872e+02 168 1 1.762872e+02 168 1.093027 6.20e-01
149 0 19047 1.501217e-01 1.716967e+02 173 1 1.716967e+02 173 1.551083 5.12e-02
150 0 19237 1.990342e-01 1.237590e+02 134 2 2.604700e+02 245 1.316437 1.92e-01
151 0 19291 2.285729e-01 1.315776e+02 145 1 1.315776e+02 145 1.387612 1.30e-01
152 0 19309 2.055429e-01 1.367110e+02 111 1 1.367110e+02 111 1.021442 8.96e-01
153 0 19355 5.548534e-01 8.454168e+00 19 1 8.454168e+00 19 1.047254 7.85e-01
154 0 19386 2.211705e-01 1.359951e+02 156 3 2.441603e+02 288 1.373448 1.40e-01
155 0 19529 3.849267e-01 2.880303e+01 54 1 2.880303e+01 54 1.123828 5.29e-01
156 0 19757 2.350388e-01 6.484243e+01 56 2 9.681026e+01 80 1.307275 2.01e-01
157 0 19821 1.103104e-01 5.644182e+02 529 3 9.289211e+02 883 2.088830 1.37e-03
158 0 20110 2.517595e-01 8.208500e+01 106 1 8.208500e+01 106 1.226375 3.10e-01
159 0 20302 1.681460e-01 9.451850e+01 102 1 9.451850e+01 102 1.128776 5.16e-01
160 0 20356 1.949179e-01 1.763546e+02 219 1 1.763546e+02 219 1.081408 6.59e-01
