# 31045 non-edge tracers in halo_pos_00, 225 voids
# VoidID CoreParticle CoreDens Zone#Parts Void#Zones Void#Parts VoidVol(Mpc/h^3) VoidDensRatio
207 27465 0.205179 60 1 60 68743.126440 1.186343
152 19309 0.205543 111 1 111 144298.471509 1.021442
113 13928 0.207184 122 1 122 121293.847254 1.381789
117 14363 0.207459 107 1 107 116461.451235 1.151094
141 18458 0.208922 109 1 109 112439.679278 1.149654
20 2847 0.209300 111 1 111 116743.586407 1.057274
186 24361 0.210421 40 1 40 57110.090627 1.123788
114 14238 0.210712 141 1 141 118534.770043 1.283536
177 22496 0.210777 105 1 105 103709.828102 1.028880
162 20746 0.211518 50 1 50 80527.098764 1.158315
180 23071 0.211626 109 1 109 104965.809868 1.419029
81 9777 0.212871 124 1 124 104977.156494 1.259765
64 6930 0.213615 82 1 82 88183.791343 1.211020
21 2885 0.214005 51 1 51 63907.690581 1.034028
10 1355 0.217279 85 1 85 75749.082109 1.005901
213 28628 0.218004 117 1 117 110465.577478 1.554637
182 23149 0.219189 143 1 143 113131.981781 1.492314
183 23645 0.219197 172 1 172 152165.430259 1.000413
215 28810 0.219217 152 1 152 131188.738309 1.471645
154 19386 0.221170 156 1 156 143542.839001 1.174430
163 20884 0.223611 61 1 61 63442.795570 1.214450
61 6638 0.225151 47 1 47 52868.869649 1.163733
143 18554 0.225407 51 1 51 66982.119550 1.212351
128 15874 0.226681 78 1 78 71054.302191 1.145881
205 26899 0.227092 98 1 98 113266.663592 1.306920
169 21682 0.228041 147 1 147 119739.201185 1.028040
151 19291 0.228573 145 1 145 138880.167396 1.387612
107 13088 0.230942 146 1 146 100684.532662 1.300417
171 21925 0.231340 95 1 95 49260.051543 1.012275
210 27933 0.232929 102 1 102 97525.410366 1.206561
156 19757 0.235039 56 1 56 68441.190087 1.240988
52 5994 0.236417 34 1 34 39417.661062 1.141388
18 2674 0.237205 26 1 26 28967.703625 1.069463
36 4118 0.238308 61 1 61 63193.106471 1.123589
161 20707 0.238438 36 1 36 41899.015092 1.153807
225 30877 0.241775 146 1 146 108018.189441 1.221263
206 27260 0.242236 117 1 117 123233.645302 1.053616
110 13565 0.243965 88 1 88 72206.148319 1.193152
139 18368 0.244812 66 1 66 54419.694807 1.218462
89 10744 0.244992 45 1 45 40342.226358 1.006713
101 11891 0.248046 65 1 65 53331.843649 1.067401
73 8628 0.249360 63 1 63 59926.618707 1.068405
158 20110 0.251760 106 1 106 86640.724110 1.226375
112 13781 0.252495 34 1 34 32456.205276 1.058760
68 8000 0.253853 40 1 40 40165.303434 1.065878
11 1547 0.254140 112 1 112 109157.285128 1.296087
132 16252 0.255785 165 1 165 98700.899695 1.143764
176 22457 0.256010 60 1 60 52227.505580 1.482769
91 11105 0.256797 77 1 77 44045.173960 1.093867
126 15555 0.256955 72 1 72 52632.448186 1.016122
129 15926 0.261225 54 1 54 43114.001234 1.016253
218 29448 0.262314 79 1 79 62120.348964 1.021241
97 11462 0.262373 15 1 15 17252.127706 1.132581
137 17738 0.262549 30 1 30 43247.120904 1.006068
196 25671 0.263618 43 1 43 38563.814272 1.085034
29 3639 0.263781 49 1 49 47741.788562 1.238549
74 8942 0.266656 38 1 38 35049.642859 1.060877
179 22654 0.266847 98 1 98 64913.719373 1.455061
211 28047 0.267985 45 1 45 38883.008052 1.035909
43 4812 0.268403 25 1 25 33497.909971 1.055846
104 12651 0.270170 105 1 105 70579.823240 1.186553
83 9908 0.270653 104 1 104 90840.326721 1.076139
108 13144 0.272157 48 1 48 37882.795065 1.103484
35 3968 0.274591 39 1 39 34836.558503 1.129135
31 3737 0.274835 156 1 156 106827.585350 1.285579
30 3646 0.275557 72 1 72 51851.599781 1.185622
212 28343 0.279431 27 1 27 28981.467346 1.079701
220 29928 0.281595 130 1 130 78225.063643 1.085744
109 13507 0.281912 25 1 25 27531.336895 1.015510
